"Track Title","Track Length","Artist","Album","Genre"
Little Black Submarines,4:11,The Black Keys,El Camino,Alternative
Money Maker,2:57,The Black Keys,El Camino,Alternative
Run Right Back,3:17,The Black Keys,El Camino,Alternative
Sister,3:25,The Black Keys,El Camino,Alternative
Hell of a Season,3:45,The Black Keys,El Camino,Alternative
Stop Stop,3:30,The Black Keys,El Camino,Alternative
Nova Baby,3:27,The Black Keys,El Camino,Alternative
Mind Eraser,3:15,The Black Keys,El Camino,Alternative
Took Out a Loan,4:15,Black Rebel Motorcycle Club,Baby 81,Alternative
Berlin,3:11,Black Rebel Motorcycle Club,Baby 81,Alternative
Weapon of Choice,2:49,Black Rebel Motorcycle Club,Baby 81,Alternative
Windows,6:06,Black Rebel Motorcycle Club,Baby 81,Alternative
Cold Wind,4:18,Black Rebel Motorcycle Club,Baby 81,Alternative
Not What You Wanted,3:43,Black Rebel Motorcycle Club,Baby 81,Alternative
666 Conducer,3:59,Black Rebel Motorcycle Club,Baby 81,Alternative
All You Do Is Talk,5:41,Black Rebel Motorcycle Club,Baby 81,Alternative
Lien On Your Dreams,4:36,Black Rebel Motorcycle Club,Baby 81,Alternative
Need Some Air,4:04,Black Rebel Motorcycle Club,Baby 81,Alternative
Killing the Light,3:55,Black Rebel Motorcycle Club,Baby 81,Alternative
American X,9:11,Black Rebel Motorcycle Club,Baby 81,Alternative
Am I Only,4:26,Black Rebel Motorcycle Club,Baby 81,Alternative
The Likes of You,5:21,Black Rebel Motorcycle Club,Baby 81,Alternative
Beat the Devil's Tattoo,3:46,Black Rebel Motorcycle Club,Beat the Devil's Tattoo,Rock
Shuffle Your Feet,2:54,Black Rebel Motorcycle Club,Howl,Rock
Howl,4:20,Black Rebel Motorcycle Club,Howl,Rock
Devil's Waitin',3:51,Black Rebel Motorcycle Club,Howl,Rock
Ain't No Easy Way,2:37,Black Rebel Motorcycle Club,Howl,Rock
Still Suspicion Holds You Tight,4:25,Black Rebel Motorcycle Club,Howl,Rock
Fault Line,2:57,Black Rebel Motorcycle Club,Howl,Rock
Promise,4:46,Black Rebel Motorcycle Club,Howl,Rock
Weight of the World,3:41,Black Rebel Motorcycle Club,Howl,Rock
Restless Sinner,3:12,Black Rebel Motorcycle Club,Howl,Rock
Gospel Song,4:31,Black Rebel Motorcycle Club,Howl,Rock
Complicated Situation,2:37,Black Rebel Motorcycle Club,Howl,Rock
Sympathetic Noose,4:17,Black Rebel Motorcycle Club,Howl,Rock
The Line,5:09,Black Rebel Motorcycle Club,Howl,Rock
Open Invitation,3:04,Black Rebel Motorcycle Club,Howl,Rock
Steal a Ride,2:33,Black Rebel Motorcycle Club,Howl,Rock
Fire Walker,6:24,Black Rebel Motorcycle Club,Specter At the Feast,Rock
Let the Day Begin,4:07,Black Rebel Motorcycle Club,Specter At the Feast,Rock
Returning,5:34,Black Rebel Motorcycle Club,Specter At the Feast,Rock
Lullaby,4:36,Black Rebel Motorcycle Club,Specter At the Feast,Rock
Hate the Taste,3:51,Black Rebel Motorcycle Club,Specter At the Feast,Rock
Rival,3:37,Black Rebel Motorcycle Club,Specter At the Feast,Rock
Teenage Disease,3:23,Black Rebel Motorcycle Club,Specter At the Feast,Rock
Some Kind of Ghost,3:51,Black Rebel Motorcycle Club,Specter At the Feast,Rock
Sometimes the Light,3:21,Black Rebel Motorcycle Club,Specter At the Feast,Rock
Funny Games,4:39,Black Rebel Motorcycle Club,Specter At the Feast,Rock
Sell It,6:47,Black Rebel Motorcycle Club,Specter At the Feast,Rock
Lose Yourself,8:39,Black Rebel Motorcycle Club,Specter At the Feast,Rock
Warning Sign,5:55,Black Rebel Motorcycle Club,Specter At the Feast,Rock
The Knife,3:51,Black Rebel Motorcycle Club,Specter At the Feast,Rock
Angel Baby,4:26,Black Rebel Motorcycle Club,Specter At the Feast,Rock
Stop,4:38,Black Rebel Motorcycle Club,"Take Them On, On Your Own (Expanded Edition)",Rock
Six Barrel Shotgun,3:06,Black Rebel Motorcycle Club,"Take Them On, On Your Own (Expanded Edition)",Rock
We're All In Love,3:38,Black Rebel Motorcycle Club,"Take Them On, On Your Own (Expanded Edition)",Rock
In Like the Rose,5:22,Black Rebel Motorcycle Club,"Take Them On, On Your Own (Expanded Edition)",Rock
Ha Ha High Babe,4:13,Black Rebel Motorcycle Club,"Take Them On, On Your Own (Expanded Edition)",Rock
Generation,5:01,Black Rebel Motorcycle Club,"Take Them On, On Your Own (Expanded Edition)",Rock
Shade of Blue,4:22,Black Rebel Motorcycle Club,"Take Them On, On Your Own (Expanded Edition)",Rock
US Government,5:32,Black Rebel Motorcycle Club,"Take Them On, On Your Own (Expanded Edition)",Rock
And I'm Aching,3:52,Black Rebel Motorcycle Club,"Take Them On, On Your Own (Expanded Edition)",Rock
Suddenly,4:57,Black Rebel Motorcycle Club,"Take Them On, On Your Own (Expanded Edition)",Rock
Rise Or Fall,3:57,Black Rebel Motorcycle Club,"Take Them On, On Your Own (Expanded Edition)",Rock
Going Under,3:14,Black Rebel Motorcycle Club,"Take Them On, On Your Own (Expanded Edition)",Rock
Heart and Soul,7:16,Black Rebel Motorcycle Club,"Take Them On, On Your Own (Expanded Edition)",Rock
High / Low,4:03,Black Rebel Motorcycle Club,"Take Them On, On Your Own (Expanded Edition)",Rock
"Take Them On, On Your Own",5:27,Black Rebel Motorcycle Club,"Take Them On, On Your Own (Expanded Edition)",Rock
Waiting Here,3:49,Black Rebel Motorcycle Club,"Take Them On, On Your Own (Expanded Edition)",Rock
Abstract Dragon,12:26,Black Rebel Motorcycle Club,"Take Them On, On Your Own (Expanded Edition)",Rock
I Miss You,3:47,blink-182,Blink-182 (Bonus Track Version),Rock
When I Was Young,3:29,blink-182,Dogs Eating Dogs - EP,Rock
Dammit,2:45,blink-182,Dude Ranch,Rock
What's My Age Again?,2:28,blink-182,Enema of the State,Rock
Adam's Song,4:10,blink-182,Enema of the State,Rock
All the Small Things,2:47,blink-182,Enema of the State,Rock
After Midnight,3:26,blink-182,Neighborhoods,Rock
First Date,2:52,blink-182,Take Off Your Pants and Jacket,Rock
The Rock Show,2:52,blink-182,Take Off Your Pants and Jacket,Pop
Stay Together for the Kids,3:59,blink-182,Take Off Your Pants and Jacket,Rock
Song 2,2:01,Blur,Blur,Pop/Rock
Duvet,3:24,Boa,Twilight,Pop
Stir It Up,5:34,Bob Marley & The Wailers,Catch a Fire,Reggae
Buffalo Soldier,4:17,Bob Marley & The Wailers,Confrontation,Reggae
Exodus,7:40,Bob Marley & The Wailers,Exodus: The Movement Continues (40th Anniversary Deluxe Edition),Reggae
Waiting In Vain,4:15,Bob Marley & The Wailers,Exodus: The Movement Continues (40th Anniversary Deluxe Edition),Reggae
Three Little Birds,3:00,Bob Marley & The Wailers,Exodus: The Movement Continues (40th Anniversary Deluxe Edition),Reggae
Punky Reggae Party,6:53,Bob Marley & The Wailers,Exodus: The Movement Continues (40th Anniversary Deluxe Edition),Reggae
Jamming (Exodus 40 Mix),3:31,Bob Marley & The Wailers,Exodus: The Movement Continues (40th Anniversary Deluxe Edition),Reggae
One Love / People Get Ready (Exodus 40 Mix),2:59,Bob Marley & The Wailers,Exodus: The Movement Continues (40th Anniversary Deluxe Edition),Reggae
Easy Skanking,2:56,Bob Marley & The Wailers,Kaya,Reggae
Is This Love,3:52,Bob Marley & The Wailers,Kaya,Reggae
Satisfy My Soul,4:30,Bob Marley & The Wailers,Kaya,Reggae
"No Woman, No Cry (Live at The Lyceum, London, 1975)",7:09,Bob Marley & The Wailers,Legend (Deluxe Edition),Reggae
Could You Be Loved,3:57,Bob Marley & The Wailers,Uprising (Remastered) [Bonus Track Version],Reggae
Redemption Song,3:55,Bob Marley & The Wailers,Uprising (Remastered) [Bonus Track Version],Reggae
I Feel So,4:31,Box Car Racer,Box Car Racer,Rock
There Is,3:17,Box Car Racer,Box Car Racer,Rock
The Great Escape,3:27,Boys Like Girls,Boys Like Girls (Bonus Track Version),Alternative
Five Minutes to Midnight,3:47,Boys Like Girls,Boys Like Girls (Bonus Track Version),Alternative
Hero/Heroine (Tom Lord-Alge Mix),3:52,Boys Like Girls,Boys Like Girls (Bonus Track Version),Alternative
I Will Not Bow,3:37,Breaking Benjamin,Dear Agony,Hard Rock
Hopeless,3:20,Breaking Benjamin,Dear Agony,Hard Rock
Dear Agony,4:18,Breaking Benjamin,Dear Agony,Hard Rock
The Diary of Jane (Single Version),3:21,Breaking Benjamin,Phobia,Hard Rock
Breath,3:38,Breaking Benjamin,Phobia,Hard Rock
Dance With the Devil,3:47,Breaking Benjamin,Phobia,Hard Rock
So Cold,4:33,Breaking Benjamin,Shallow Bay: The Best of Breaking Benjamin (Deluxe Edition),Hard Rock
Firefly,3:08,Breaking Benjamin,We Are Not Alone,Hard Rock
FACE,4:19,BROCKHAMPTON,SATURATION,Hip-Hop/Rap
JUNKY,4:09,BROCKHAMPTON,SATURATION II,Hip-Hop/Rap
Pirates 2009,2:18,Bullets and Octane,Laughing In the Face of Failure,Rock
Swallowed,4:51,Bush,Razorblade Suitcase (Remastered),Rock
The Chemicals Between Us,3:37,Bush,The Science of Things (Remastered),Rock
Everything Zen,4:38,Bush,Sixteen Stone (Remastered),Rock
Swim,4:56,Bush,Sixteen Stone (Remastered),Rock
Bomb,3:23,Bush,Sixteen Stone (Remastered),Rock
Little Things,4:24,Bush,Sixteen Stone (Remastered),Rock
Comedown,5:27,Bush,Sixteen Stone (Remastered),Rock
Body,5:43,Bush,Sixteen Stone (Remastered),Rock
Machinehead,4:16,Bush,Sixteen Stone (Remastered),Rock
Testosterone,4:20,Bush,Sixteen Stone (Remastered),Rock
Monkey,4:01,Bush,Sixteen Stone (Remastered),Rock
Glycerine,4:26,Bush,Sixteen Stone (Remastered),Rock
Alien,6:34,Bush,Sixteen Stone (Remastered),Rock
X-Girlfriend,0:45,Bush,Sixteen Stone (Remastered),Rock
In One Ear,4:01,Cage the Elephant,Cage the Elephant (Expanded Edition),Alternative
James Brown,3:21,Cage the Elephant,Cage the Elephant (Expanded Edition),Alternative
Ain't No Rest for the Wicked,2:55,Cage the Elephant,Cage the Elephant (Expanded Edition),Alternative
Tiny Little Robots,4:11,Cage the Elephant,Cage the Elephant (Expanded Edition),Alternative
Lotus,3:17,Cage the Elephant,Cage the Elephant (Expanded Edition),Alternative
Back Against the Wall,3:48,Cage the Elephant,Cage the Elephant (Expanded Edition),Alternative
Drones In the Valley,2:28,Cage the Elephant,Cage the Elephant (Expanded Edition),Alternative
Judas,3:27,Cage the Elephant,Cage the Elephant (Expanded Edition),Alternative
Back Stabbin' Betty,3:39,Cage the Elephant,Cage the Elephant (Expanded Edition),Alternative
Soil To the Sun,3:18,Cage the Elephant,Cage the Elephant (Expanded Edition),Alternative
Free Love,3:29,Cage the Elephant,Cage the Elephant (Expanded Edition),Alternative
Cover Me Again,3:16,Cage the Elephant,Cage the Elephant (Expanded Edition),Alternative
Spiderhead,3:43,Cage the Elephant,Melophobia,Alternative
Come a Little Closer,3:49,Cage the Elephant,Melophobia,Alternative
Telescope,3:48,Cage the Elephant,Melophobia,Alternative
It's Just Forever (feat. Alison Mosshart),3:30,Cage the Elephant,Melophobia,Alternative
Take It or Leave It,3:27,Cage the Elephant,Melophobia,Alternative
Halo,2:58,Cage the Elephant,Melophobia,Alternative
Black Widow,3:07,Cage the Elephant,Melophobia,Alternative
Hypocrite,4:09,Cage the Elephant,Melophobia,Alternative
Teeth,5:27,Cage the Elephant,Melophobia,Alternative
Cigarette Daydreams,3:29,Cage the Elephant,Melophobia,Alternative
Broken Boy,2:43,Cage the Elephant,Social Cues,Alternative
Social Cues,3:39,Cage the Elephant,Social Cues,Alternative
Black Madonna,3:47,Cage the Elephant,Social Cues,Alternative
Skin and Bones,3:16,Cage the Elephant,Social Cues,Alternative
Ready to Let Go,3:08,Cage the Elephant,Social Cues,Alternative
House of Glass,2:35,Cage the Elephant,Social Cues,Alternative
Love's the Only Way,4:01,Cage the Elephant,Social Cues,Alternative
The War Is Over,3:16,Cage the Elephant,Social Cues,Alternative
Dance Dance,3:10,Cage the Elephant,Social Cues,Alternative
What I'm Becoming,3:50,Cage the Elephant,Social Cues,Alternative
Tokyo Smoke,3:26,Cage the Elephant,Social Cues,Alternative
Goodbye,4:16,Cage the Elephant,Social Cues,Alternative
Cry Baby,4:07,Cage the Elephant,Tell Me I'm Pretty,Alternative
Mess Around,2:53,Cage the Elephant,Tell Me I'm Pretty,Alternative
Sweetie Little Jean,3:45,Cage the Elephant,Tell Me I'm Pretty,Alternative
Too Late to Say Goodbye,4:13,Cage the Elephant,Tell Me I'm Pretty,Alternative
Cold Cold Cold,3:34,Cage the Elephant,Tell Me I'm Pretty,Alternative
Trouble,3:46,Cage the Elephant,Tell Me I'm Pretty,Alternative
How Are You True,4:41,Cage the Elephant,Tell Me I'm Pretty,Alternative
That's Right,3:53,Cage the Elephant,Tell Me I'm Pretty,Alternative
Punchin' Bag,3:47,Cage the Elephant,Tell Me I'm Pretty,Alternative
Portuguese Knife Fight,3:38,Cage the Elephant,Tell Me I'm Pretty,Alternative
Always Something,3:42,Cage the Elephant,Thank You Happy Birthday,Alternative
Aberdeen,3:13,Cage the Elephant,Thank You Happy Birthday,Alternative
Indy Kidz,5:03,Cage the Elephant,Thank You Happy Birthday,Alternative
Shake Me Down,3:31,Cage the Elephant,Thank You Happy Birthday,Alternative
2024,3:10,Cage the Elephant,Thank You Happy Birthday,Alternative
Sell Yourself,2:11,Cage the Elephant,Thank You Happy Birthday,Alternative
Rubber Ball,3:48,Cage the Elephant,Thank You Happy Birthday,Alternative
Right Before My Eyes,3:15,Cage the Elephant,Thank You Happy Birthday,Alternative
Around My Head,3:12,Cage the Elephant,Thank You Happy Birthday,Alternative
Sabertooth Tiger,2:52,Cage the Elephant,Thank You Happy Birthday,Alternative
Japanese Buffalo,3:03,Cage the Elephant,Thank You Happy Birthday,Alternative
Flow,3:28,Cage the Elephant,Thank You Happy Birthday,Alternative
Doctor Doctor Doctor Help Me Help Me Help Me,2:14,Cage the Elephant,Thank You Happy Birthday,Alternative
Carry Me In,5:57,Cage the Elephant,Thank You Happy Birthday,Alternative
Night Running,3:28,Cage the Elephant & Beck,Social Cues,Alternative
Have Some Love,3:44,Childish Gambino,"Awaken, My Love!",R&B/Soul
Zombies,4:42,Childish Gambino,"Awaken, My Love!",R&B/Soul
Redbone,5:27,Childish Gambino,"Awaken, My Love!",R&B/Soul
The Library (Intro),0:05,Childish Gambino,Because the Internet,Hip-Hop/Rap
I.Crawl,3:29,Childish Gambino,Because the Internet,Hip-Hop/Rap
II. Worldstar,4:05,Childish Gambino,Because the Internet,Hip-Hop/Rap
Dial Up,0:45,Childish Gambino,Because the Internet,Hip-Hop/Rap
I. The Worst Guys (feat. Chance the Rapper),3:40,Childish Gambino,Because the Internet,Hip-Hop/Rap
II. Shadows,3:52,Childish Gambino,Because the Internet,Hip-Hop/Rap
"III. Telegraph Ave. (""Oakland"" by Lloyd)",3:31,Childish Gambino,Because the Internet,Hip-Hop/Rap
IV. Sweatpants,3:01,Childish Gambino,Because the Internet,Hip-Hop/Rap
3005,3:54,Childish Gambino,Because the Internet,Hip-Hop/Rap
Playing Around Before the Party Starts,0:54,Childish Gambino,Because the Internet,Hip-Hop/Rap
I. The Party,1:31,Childish Gambino,Because the Internet,Hip-Hop/Rap
II. No Exit,2:52,Childish Gambino,Because the Internet,Hip-Hop/Rap
Death By Numbers,0:44,Childish Gambino,Because the Internet,Hip-Hop/Rap
I. Flight of the Navigator,5:44,Childish Gambino,Because the Internet,Hip-Hop/Rap
II. Zealots of Stockholm [Free Information],4:51,Childish Gambino,Because the Internet,Hip-Hop/Rap
III. Urn,1:13,Childish Gambino,Because the Internet,Hip-Hop/Rap
I. Pink Toes (feat. Jhené Aiko),3:27,Childish Gambino,Because the Internet,Hip-Hop/Rap
II. Earth: The Oldest Computer (The Last Night) [feat. Azealia Banks],4:42,Childish Gambino,Because the Internet,Hip-Hop/Rap
III. Life: The Biggest Troll [Andrew Auernheimer],5:42,Childish Gambino,Because the Internet,Hip-Hop/Rap
500 Channels,2:40,Choking Victim,No Gods / No Managers,Alternative
First,3:20,Cold War Kids,Hold My Home,Alternative
Hang Me up to Dry,3:39,Cold War Kids,Robbers & Cowards,Alternative
Paradise,4:38,Coldplay,Mylo Xyloto,Alternative
Yellow,4:29,Coldplay,Parachutes,Alternative
The Scientist,5:09,Coldplay,A Rush of Blood to the Head,Alternative
Clocks,5:07,Coldplay,A Rush of Blood to the Head,Rock
Viva La Vida,4:01,Coldplay,Viva La Vida or Death and All His Friends,Pop
Fix You,4:55,Coldplay,X & Y,Alternative
Gangsta's Paradise (feat. L.V.),4:02,Coolio,Gangsta's Paradise,Hip-Hop/Rap
Round Here,5:31,Counting Crows,August and Everything After,Rock
Mr. Jones,4:32,Counting Crows,August and Everything After,Rock
Big Yellow Taxi (feat. Vanessa Carlton),3:46,Counting Crows,Hard Candy,Rock
A Long December,4:55,Counting Crows,Recovering the Satellites,Rock
Linger,4:35,The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",Rock
Zombie,5:06,The Cranberries,No Need to Argue,Alternative
Proud Mary,3:08,Creedence Clearwater Revival,Bayou Country,Rock
Up Around the Bend,2:42,Creedence Clearwater Revival,Cosmo's Factory,Rock
Bad Moon Rising,2:22,Creedence Clearwater Revival,Green River,Rock
Down On the Corner,2:47,Creedence Clearwater Revival,Willy and the Poor Boys,Rock
Fortunate Son,2:22,Creedence Clearwater Revival,Willy and the Poor Boys,Rock
Lovesong,3:30,The Cure,Disintegration (Deluxe Edition - Remastered),Rock
Just Like Heaven,3:32,The Cure,"Kiss Me, Kiss Me, Kiss Me",Alternative
Boys Don't Cry (Single Version),2:38,The Cure,Three Imaginary Boys (Deluxe Edition),Rock
Friday I'm In Love,3:34,The Cure,Wish,Pop
My Band,4:59,D12,D12 World,Hip-Hop/Rap
Good Die Young,5:56,D12,D12 World,Hip-Hop/Rap
Purple Pills,5:05,D12,Devil's Night,Pop
The World Come On,4:42,The Dandy Warhols,Earth to the Dandy Warhols,Alternative
Mission Control,2:16,The Dandy Warhols,Earth to the Dandy Warhols,Alternative
Welcome to the Third World,5:50,The Dandy Warhols,Earth to the Dandy Warhols,Alternative
Wasp in the Lotus,4:36,The Dandy Warhols,Earth to the Dandy Warhols,Alternative
And Then I Dreamt of Yes,4:42,The Dandy Warhols,Earth to the Dandy Warhols,Alternative
Talk Radio,5:28,The Dandy Warhols,Earth to the Dandy Warhols,Alternative
Love Song,3:48,The Dandy Warhols,Earth to the Dandy Warhols,Alternative
Now You'll Love Me,3:09,The Dandy Warhols,Earth to the Dandy Warhols,Alternative
Mis Amigos,4:31,The Dandy Warhols,Earth to the Dandy Warhols,Alternative
The Legend of the Outlaw Truckers Aka the Ballad of Sheriff Shorty,3:44,The Dandy Warhols,Earth to the Dandy Warhols,Alternative
Beast of All Saints,4:47,The Dandy Warhols,Earth to the Dandy Warhols,Alternative
Valerie Yum,7:01,The Dandy Warhols,Earth to the Dandy Warhols,Alternative
Musee d'nougat,14:46,The Dandy Warhols,Earth to the Dandy Warhols,Alternative
Sleep,5:57,The Dandy Warhols,Thirteen Tales from Urban Bohemia,Pop
